"Name","Gross Import","Share"
"Afghanistan","1528993","0.0007749729696529637"
"Anguilla","389225","0.00019727942123552874"
"Albania","4771305","0.002418344887759482"
"United Arab Emirates","1506431903","0.7635378353255216"
"Argentina","501216627","0.25404258741906066"
"Armenia","1340016","0.0006791896227794932"
"American Samoa","9262059","0.004694491974999858"
"Antarctica","194765","0.00009871700552877578"
"Antigua and Barbuda","349348","0.0001770676889968257"
"Austria","1672386956","0.8476524651847329"
"Azerbaijan","1474105","0.0007471528839113599"
"Burundi","688092","0.0003487607207060118"
"Belgium","1363666355","0.691176849567122"
"Bangladesh","638667767","0.3237099555155694"
"Bulgaria","57663291","0.029226747189969482"
"Bahrain","50113812","0.025400279599887193"
"The Bahamas","1646327","0.0008344439276110842"
"Bosnia and Herzegovina","11374176","0.005765022437692956"
"Belarus","18967399","0.009613661756216446"
"Belize","1894282","0.0009601203843968908"
"Bermuda","120497","0.00006107413044027877"
"Bolivia","22728459","0.011519962071026898"
"Brazil","475336428","0.2409251600179936"
"Barbados","1426476","0.0007230120359338996"
"Brunei","695662517","0.3525978514458505"
"Bhutan","932978","0.0004728816490859557"
"Botswana","314504","0.00015940694224743715"
"Canada","1682427394","0.8527414800157205"
"Cocos (Keeling) Islands","188892","0.00009574026446405417"
"Switzerland","2547625230","1.2912686258576163"
"Chile","304735359","0.1544556882356505"
"China","47363047039","24.006049220386775"
"Côte d'Ivoire","7698976","0.003902240424911622"
"Cameroon","365338","0.00018517225048582592"
"Democratic Republic of the Congo","391206","0.00019828349480086388"
"Republic of the Congo","96872420","0.049099967759740654"
"Cook Islands","120407","0.00006102851377148514"
"Colombia","84758666","0.04296008882568048"
"Costa Rica","71775795","0.03637969631015468"
"Cuba","7069664","0.0035832724574466"
"Christmas Island","1404717","0.0007119834459752282"
"Cyprus","18470864","0.009361992060222655"
"Czechia","448727615","0.2274384332445222"
"Germany","10370765890","5.256442141559157"
"Djibouti","1079430","0.0005471111199544396"
"Dominica","300711","0.0001524159343288768"
"Denmark","856248862","0.433991341586332"
"Dominican Republic","30785299","0.015603586535506973"
"Algeria","524381854","0.2657839261700392"
"Ecuador","17572792","0.008906802582702367"
"Egypt","30322933","0.015369235461246616"
"Spain","1748753429","0.8863589552489337"
"Estonia","156281179","0.07921140867910864"
"Ethiopia","15104125","0.0076555540838052025"
"Finland","739164510","0.3746469181852224"
"Fiji","127653471","0.06470140118848057"
"France","3005709014","1.5234492509071405"
"Gabon","145587930","0.07379151536843385"
"United Kingdom","5517405218","2.7965071825523187"
"Georgia","2426879","0.0012300681727244105"
"Ghana","16858208","0.008544614342111016"
"Greece","215221708","0.10908552634481844"
"Guatemala","15280462","0.0077449308229725474"
"Guam","548514","0.0002780153496296096"
"Guyana","276310","0.00014004824171517488"
"Hong Kong","515207275","0.26113377359710677"
"Honduras","41373094","0.0209700302885044"
"Croatia","23443859","0.011882563902748645"
"Haiti","2001288","0.0010143565761850056"
"Hungary","555083072","0.28134489609300356"
"Indonesia","2577570547","1.30644646594105"
"India","2961797910","1.501192825490137"
"Ireland","1010307390","0.5120761954375428"
"Iran","14242184","0.007218677671398053"
"Iceland","11856079","0.006009275877044655"
